Name,Author,Year,Publication Name,DOI,Publication Year,Publication Type,Database
Ensemble Random Forest-based Gradient Optimization based Energy Efficient Video Processing System for Smart Traffic Surveillance System,"Rajagopal, S; Devi, MU; Jones, GM; Nayagam, MG",2024,IETE JOURNAL OF RESEARCH,10.1080/03772063.2024.2350927,2024,,WoS
An innovative decision making method for air quality monitoring based on big data-assisted artificial intelligence technique,"Fu, LM; Li, JL; Chen, YF",2023,JOURNAL OF INNOVATION & KNOWLEDGE,10.1016/j.jik.2022.100294,2023,,WoS
Deep Learning Algorithm Research and Performance Optimization of Financial Treasury Big Data Monitoring Platform,"Wang, YB; Ding, D",2024,INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS,,2024,,WoS
An automated prediction of remote sensing data of Queensland-Australia for flood and wildfire susceptibility using BISSOA-DBMLA scheme,"Sankaran, KS; Lim, SJ; Bhaskar, SCV",2022,ACTA GEOPHYSICA,10.1007/s11600-022-00925-1,2022,,WoS
Effective Big Data Retrieval Using Deep Learning Modified Neural Networks,"Prasanth, T; Gunasekaran, M",2019,MOBILE NETWORKS & APPLICATIONS,10.1007/s11036-018-1204-y,2019,,WoS
Efficient and secure medical big data management system using optimal map-reduce framework and deep learning,"Rajeshkumar, K; Dhanasekaran, S; Vasudevan, V",2023,MULTIMEDIA TOOLS AND APPLICATIONS,10.1007/s11042-023-17381-8,2023,,WoS
"Artificial Intelligence / Machine Learning-based Innovations - A Review of Patent Eligibility Standards, Policies, Open Issues and Guiding Framework","Iqbal, Z; Sadaf, S",2024,EXPERT SYSTEMS WITH APPLICATIONS,10.1016/j.eswa.2023.121819,2024,,WoS
,,,,,,,
Item Title,Authors,Publication Year,Publication Title,Item DOI,Publication Year,,Database
"Letter to Editor: “Artificial Intelligence, Machine Learning, Deep Learning and Big Data Analytics for Resource Optimization in Surgery”",Vikesh AgrawalDhananjaya SharmaSanjay Kumar Yadav,2020,Indian Journal of Surgery,10.1007/s12262-020-02643-8,2020,,Springer
Deep learning for small and big data in psychiatry,Georgia KoppeAndreas Meyer-LindenbergDaniel Durstewitz,2021,Neuropsychopharmacology,10.1038/s41386-020-0767-z,2021,,Springer
Anomaly detection optimization using big data and deep learning to reduce false-positive,Khloud Al JalladMohamad AljnidiMohammad Said Desouki,2020,Journal of Big Data,10.1186/s40537-020-00346-1,2020,,Springer
Big data classification using deep learning and apache spark architecture,Anilkumar V. BrahmaneB. Chaitanya Krishna,2021,Neural Computing and Applications,10.1007/s00521-021-06145-w,2021,,Springer
Effective Big Data Retrieval Using Deep Learning Modified Neural Networks,T. PrasanthM. Gunasekaran,2019,Mobile Networks and Applications,10.1007/s11036-018-1204-y,2019,,Springer
Fuzzy Integration Algorithm of Big Data in Peer-to-Peer Communication Network Based on Deep Learning,Weina HeYafei WangDongliang Xia,2022,Wireless Personal Communications,10.1007/s11277-021-08581-2,2022,,Springer
DSSAE-BBOA: deep learning-based weather big data analysis and visualization,Madhukar Rao GRamesh Dharavath,2021,Multimedia Tools and Applications,10.1007/s11042-021-11059-9,2021,,Springer
Efficient and secure medical big data management system using optimal map-reduce framework and deep learning,K. RajeshkumarS. DhanasekaranV. Vasudevan,2024,Multimedia Tools and Applications,10.1007/s11042-023-17381-8,2024,,Springer
Application of Meta-Heuristic Algorithms for Training Neural Networks and Deep Learning Architectures: A Comprehensive Review,Mehrdad KavehMohammad Saadi Mesgari,2023,Neural Processing Letters,10.1007/s11063-022-11055-6,2023,,Springer
Meta-heuristic endured deep learning model for big data classification: image analytics,P. NaveenB. Diwan,2023,Knowledge and Information Systems,10.1007/s10115-023-01888-5,2023,,Springer
Special issue on deep learning-based neural information processing for big data analytics,Chuanchao Huang,2020,Neural Computing and Applications,10.1007/s00521-019-04602-1,2020,,Springer
Adaptive Exponential Bat algorithm and deep learning for big data classification,S Md MujeebR Praveen SamK Madhavi,2021,Sādhanā,10.1007/s12046-020-01521-z,2021,,Springer
Deep learning model based on big data for water source discrimination in an underground multiaquifer coal mine,Chunlu JiangSaijun ZhuHong HuShikai AnWei SuXing ChenChang LiLiugen Zheng,2021,Bulletin of Engineering Geology and the Environment,10.1007/s10064-021-02535-5,2021,,Springer
Deep learning applications and challenges in big data analytics,Maryam M NajafabadiFlavio VillanustreTaghi M KhoshgoftaarNaeem SeliyaRandall WaldEdin Muharemagic,2015,Journal of Big Data,10.1186/s40537-014-0007-7,2015,,Springer
Cyber Forensic Investigation in IoT Using Deep Learning Based Feature Fusion in Big Data,Suman ThapaliyaPawan Kumar Sharma,2023,International Journal of Wireless Information Networks,10.1007/s10776-022-00586-3,2023,,Springer
Big data analytics in healthcare environment using chaotic red deer optimizer with deep learning for disease classification model,R. Hendra KumarGurram Sunitha,2024,Multimedia Tools and Applications,10.1007/s11042-024-18239-3,2024,,Springer
Deep learning neural network (DLNN)-based classification and optimization algorithm for organ inflammation disease diagnosis,A. Alavudeen BashaAzath Mubarak AliP. ParthasarathyOmer Elsier TayfourSuresh Babu ChangalasettyMohammed Shujauddin,2023,Soft Computing,10.1007/s00500-023-08212-x,2023,,Springer
Estimation and comparison of mean time between failures based on deep learning for OSS fault big data,Yoshinobu TamuraRyota UekiAdarsh AnandShigeru Yamada,2024,International Journal of System Assurance Engineering and Management,10.1007/s13198-023-01907-2,2024,,Springer
Deep learning-based hybrid sentiment analysis with feature selection using optimization algorithm,D. Anand Joseph DanielM. Janaki Meena,2023,Multimedia Tools and Applications,10.1007/s11042-023-14767-6,2023,,Springer
Hyperparameter Tuning for Machine and Deep Learning with R,Eva BartzThomas Bartz-BeielsteinMartin ZaeffererOlaf Mersmann,2023,,10.1007/978-981-19-5170-1,2023,,Springer
Task scheduling approach in fog and cloud computing using Jellyfish Search (JS) optimizer and Improved Harris Hawks optimization (IHHO) algorithm enhanced by deep learning,Zahra JafariAhmad Habibizad NavinAzadeh Zamanifar,2024,Cluster Computing,10.1007/s10586-024-04347-0,2024,,Springer
Deep Learning-Based Numerical Methods for High-Dimensional Parabolic Partial Differential Equations and Backward Stochastic Differential Equations,Weinan EJiequn HanArnulf Jentzen,2017,Communications in Mathematics and Statistics,10.1007/s40304-017-0117-6,2017,,Springer
Application of deep learning algorithms in geotechnical engineering: a short critical review,Wengang ZhangHongrui LiYongqin LiHanlong LiuYumin ChenXuanming Ding,2021,Artificial Intelligence Review,10.1007/s10462-021-09967-1,2021,,Springer
Community detection in network using chronological gorilla troops optimization algorithm with deep learning based weighted convexity,Peeyush TiwariSundeep RajNitin Chhimwal,2023,Wireless Networks,10.1007/s11276-023-03430-5,2023,,Springer
Deep learning in astronomy: a tutorial perspective,Saroj K. MeherGanapati Panda,2021,The European Physical Journal Special Topics,10.1140/epjs/s11734-021-00207-9,2021,,Springer
RETRACTED ARTICLE: Data simulation of optimal model for numerical solution of differential equations based on deep learning and genetic algorithm,Li Jing,2023,Soft Computing,10.1007/s00500-023-08208-7,2023,,Springer
An Effective Temperature Profile Prediction in Additive Manufacturing Process Using Fractional GNU Global Herding Optimization-based Deep Learning Technique,Shaikh Tauseef AhmedAmol D. LokhandeR. Sayyad Shafik,2023,International Journal on Interactive Design and Manufacturing (IJIDeM),10.1007/s12008-023-01349-x,2023,,Springer
Human action recognition with deep learning and structural optimization using a hybrid heuristic algorithm,Tayyip OzcanAlper Basturk,2020,Cluster Computing,10.1007/s10586-020-03050-0,2020,,Springer
A Structured Analysis to study the Role of Machine Learning and Deep Learning in The Healthcare Sector with Big Data Analytics,Juli KumariEla KumarDeepak Kumar,2023,Archives of Computational Methods in Engineering,10.1007/s11831-023-09915-y,2023,,Springer
Machine Learning and Deep Learning frameworks and libraries for large-scale data mining: a survey,Giang NguyenStefan DlugolinskyMartin BobákViet TranÁlvaro López GarcíaIgnacio HerediaPeter MalíkLadislav Hluchý,2019,Artificial Intelligence Review,10.1007/s10462-018-09679-z,2019,,Springer
Genetic algorithm-based hyperparameter optimization of deep learning models for PM2.5 time-series prediction,C. Erden,2023,International Journal of Environmental Science and Technology,10.1007/s13762-023-04763-6,2023,,Springer
Deep-learning modeling and control optimization framework for intelligent thermal power plants: A practice on superheated steam temperature,Qianchao WangLei PanKwang Y. LeeZizhan Wu,2021,Korean Journal of Chemical Engineering,10.1007/s11814-021-0865-6,2021,,Springer
A survey of swarm and evolutionary computing approaches for deep learning,Ashraf DarwishAboul Ella HassanienSwagatam Das,2020,Artificial Intelligence Review,10.1007/s10462-019-09719-2,2020,,Springer
Enhancing Enterprise Value Creation Through Intelligent Digital Transformation of the Value Chain: A Deep Learning and Edge Computing Approach,Ruiqing LiuYonghong Wang,2024,Journal of the Knowledge Economy,10.1007/s13132-024-02087-5,2024,,Springer
Advances in Deep Learning Techniques for Short-term Energy Load Forecasting Applications: A Review,Radhika ChandrasekaranSenthil Kumar Paramasivan,2024,Archives of Computational Methods in Engineering,10.1007/s11831-024-10155-x,2024,,Springer
Predicting air quality index using attention hybrid deep learning and quantum-inspired particle swarm optimization,Anh Tuan NguyenDuy Hoang PhamBee Lan OoYonghan AhnBenson T. H. Lim,2024,Journal of Big Data,10.1186/s40537-024-00926-5,2024,,Springer
A novel scalable intrusion detection system based on deep learning,Soosan Naderi MighanMohsen Kahani,2021,International Journal of Information Security,10.1007/s10207-020-00508-5,2021,,Springer
"A systematic review and meta-analysis of artificial neural network, machine learning, deep learning, and ensemble learning approaches in field of geotechnical engineering",Elaheh YaghoubiElnaz YaghoubiAhmed KhameesAmir Hossein Vakili,2024,Neural Computing and Applications,10.1007/s00521-024-09893-7,2024,,Springer
Deep learning approximations for non-local nonlinear PDEs with Neumann boundary conditions,Victor BoussangeSebastian BeckerArnulf JentzenBenno KuckuckLoïc Pellissier,2023,Partial Differential Equations and Applications,10.1007/s42985-023-00244-0,2023,,Springer
Using machine learning and deep learning algorithms for downtime minimization in manufacturing systems: an early failure detection diagnostic service,Mohammad ShahinF. Frank ChenAli HosseinzadehNeda Zand,2023,The International Journal of Advanced Manufacturing Technology,10.1007/s00170-023-12020-w,2023,,Springer
Hybrid deep learning framework for weather forecast with rainfall prediction using weather bigdata analytics,C. LalithaD. Ravindran,2024,Multimedia Tools and Applications,10.1007/s11042-023-17801-9,2024,,Springer
"Deep learning application in smart cities: recent development, taxonomy, challenges and research prospects",Amina N. MuhammadAli M. AseereHaruna ChiromaHabib ShahAbdulsalam Y. GitalIbrahim Abaker Targio Hashem,2021,Neural Computing and Applications,10.1007/s00521-020-05151-8,2021,,Springer
Optimal distributed parallel algorithms for deep learning framework Tensorflow,Yuanlun XieMajun HeTingsong MaWenhong Tian,2022,Applied Intelligence,10.1007/s10489-021-02588-9,2022,,Springer
"Deep learning modelling techniques: current progress, applications, advantages, and challenges",Shams Forruque AhmedMd. Sakib Bin AlamMaruf HassanMahtabin Rodela RozbuTaoseef IshtiakNazifa RafaM. MofijurA. B. M. Shawkat AliAmir H. Gandomi,2023,Artificial Intelligence Review,10.1007/s10462-023-10466-8,2023,,Springer
A comprehensive survey on optimizing deep learning models by metaheuristics,Bahriye AkayDervis KarabogaRustu Akay,2022,Artificial Intelligence Review,10.1007/s10462-021-09992-0,2022,,Springer
Solar Energy Forecasting Using Machine Learning and Deep Learning Techniques,T. RajasundrapandiyanleebanonK. KumaresanSakthivel MuruganM. S. P. SubathraMahima Sivakumar,2023,Archives of Computational Methods in Engineering,10.1007/s11831-023-09893-1,2023,,Springer
Intelligent and sustainable waste classification model based on multi-objective beluga whale optimization and deep learning,Gehad Ismail SayedMohamed Abd ElfattahAshraf DarwishAboul Ella Hassanien,2024,Environmental Science and Pollution Research,10.1007/s11356-024-33233-w,2024,,Springer
Deep learning networks with rough-refinement optimization for food quality assessment,Jin ZhouKang ZhouGexiang ZhangQiyu LiuWangyang ShenWeiping Jin,2023,Natural Computing,10.1007/s11047-022-09890-6,2023,,Springer
Parameter identification of dynamical systems based on short-term prediction by the generalized cell mapping method with deep learning,Xiaole YueXiaoding JingXiaocong LiuYongge LiYong Xu,2024,Nonlinear Dynamics,10.1007/s11071-024-09943-8,2024,,Springer
Recent trends in crowd management using deep learning techniques: a systematic literature review,Aisha M. AlasmariNorah S. FarooqiYouseef A. Alotaibi,2024,Journal of Umm Al-Qura University for Engineering and Architecture,10.1007/s43995-024-00071-3,2024,,Springer
Deep materials informatics: Applications of deep learning in materials science,Ankit AgrawalAlok Choudhary,2019,MRS Communications,10.1557/mrc.2019.73,2019,,Springer
Hyper-parameter optimization of deep learning architectures using artificial bee colony (ABC) algorithm for high performance real-time automatic colorectal cancer (CRC) polyp detection,Ahmet KaramanDervis KarabogaIshak PacalBahriye AkayAlper BasturkUfuk NalbantogluSeymanur CoskunOmur Sahin,2023,Applied Intelligence,10.1007/s10489-022-04299-1,2023,,Springer
Chest X-ray Images for Lung Disease Detection Using Deep Learning Techniques: A Comprehensive Survey,Mohammed A. A. Al-qanessJie ZhuDalal AL-AlimiAbdelghani DahouSaeed Hamood AlsamhiMohamed Abd ElazizAhmed A. Ewees,2024,Archives of Computational Methods in Engineering,10.1007/s11831-024-10081-y,2024,,Springer
A review on quantum computing and deep learning algorithms and their applications,Fevrier ValdezPatricia Melin,2023,Soft Computing,10.1007/s00500-022-07037-4,2023,,Springer
Integrating Deep Learning and Reinforcement Learning for Enhanced Financial Risk Forecasting in Supply Chain Management,Yuanfei CuiFengtong Yao,2024,Journal of the Knowledge Economy,10.1007/s13132-024-01946-5,2024,,Springer
RETRACTED ARTICLE: Features optimization selection in hidden layers of deep learning based on graph clustering,Hefei GaoYifei YuanWei Wang,2023,EURASIP Journal on Wireless Communications and Networking,10.1186/s13638-023-02292-x,2023,,Springer
Leveraging three-tier deep learning model for environmental cleaner plants production,Zahraa TarekMohamed ElhosenyMohamemd I. AlghamdiIbrahim M. EL-Hasnony,2023,Scientific Reports,10.1038/s41598-023-43465-4,2023,,Springer
Smart city urban planning using an evolutionary deep learning model,Mansoor Alghamdi,2024,Soft Computing,10.1007/s00500-023-08219-4,2024,,Springer
Deep Fuzzy System Algorithms Based on Deep Learning and Input Sharing for Regression Application,Yunhu HuangDewang ChenWendi ZhaoHong Mo,2021,International Journal of Fuzzy Systems,10.1007/s40815-020-00998-4,2021,,Springer
Deep learning approaches to detect breast cancer: a comprehensive review,Amir Mohammad SharafaddiniKiana Kouhpah EsfahaniNajme Mansouri,2024,Multimedia Tools and Applications,10.1007/s11042-024-20011-6,2024,,Springer
Optimal feature selection and hybrid deep learning for direct marketing campaigns in banking applications,N Srikanth Reddy,2022,Evolutionary Intelligence,10.1007/s12065-021-00604-y,2022,,Springer
The derived demand for advertising expenses and implications on sustainability: a comparative study using deep learning and traditional machine learning methods,Sule BirimIpek KazancogluSachin Kumar ManglaAysun KahramanYigit Kazancoglu,2024,Annals of Operations Research,10.1007/s10479-021-04429-x,2024,,Springer
Full waveform inversion based on deep learning and optimal nearly analytic discrete method,Lu FanZhou Yan-JieHe Xi-JunMa XiaoHuang Xue-Yuan,2021,Applied Geophysics,10.1007/s11770-021-0912-4,2021,,Springer
"A survey on machine and deep learning in semiconductor industry: methods, opportunities, and challenges",An Chi HuangSheng Hui MengTian Jiun Huang,2023,Cluster Computing,10.1007/s10586-023-04115-6,2023,,Springer
An Intrusion Detection System on The Internet of Things Using Deep Learning and Multi-objective Enhanced Gorilla Troops Optimizer,Hossein AsgharzadehAli GhaffariMohammad MasdariFarhad Soleimanian Gharehchopogh,2024,Journal of Bionic Engineering,10.1007/s42235-024-00575-7,2024,,Springer
A survey on advanced machine learning and deep learning techniques assisting in renewable energy generation,Sri Revathi B.,2023,Environmental Science and Pollution Research,10.1007/s11356-023-29064-w,2023,,Springer
Hyper-parameter optimization of deep learning model for prediction of Parkinson’s disease,Sukhpal KaurHimanshu AggarwalRinkle Rani,2020,Machine Vision and Applications,10.1007/s00138-020-01078-1,2020,,Springer
Enhancing sarcasm detection through grasshopper optimization with deep learning based sentiment analysis on social media,Nidamanuri SrinuK. SivaramanM. Sriram,2024,International Journal of Information Technology,10.1007/s41870-024-02057-9,2024,,Springer
Leveraging Deep Learning for Designing Healthcare Analytics Heuristic for Diagnostics,Sarah ShafqatMaryyam FayyazHasan Ali KhattakMuhammad BilalShahid KhanOsama IshtiaqAlmas AbbasiFarzana ShafqatWaleed S. AlnumayPushpita Chatterjee,2023,Neural Processing Letters,10.1007/s11063-021-10425-w,2023,,Springer
Research progress in water quality prediction based on deep learning technology: a review,Wenhao LiYin ZhaoYining ZhuZhongtian DongFenghe WangFengliang Huang,2024,Environmental Science and Pollution Research,10.1007/s11356-024-33058-7,2024,,Springer
Optimizing Financial Engineering Time Indicator Using Bionics Computation Algorithm and Neural Network Deep Learning,Zeyu WangYue Deng,2022,Computational Economics,10.1007/s10614-022-10253-7,2022,,Springer
Deep learning for heterogeneous medical data analysis,Lin YueDongyuan TianWeitong ChenXuming HanMinghao Yin,2020,World Wide Web,10.1007/s11280-019-00764-z,2020,,Springer
OptiLCD: an optimal lossless compression and denoising technique for satellite images using hybrid optimization and deep learning techniques,P. PremaV. V. Ramalingam,2023,Soft Computing,10.1007/s00500-023-09361-9,2023,,Springer
Deep learning techniques for detection and prediction of pandemic diseases: a systematic literature review,Sunday Adeola AjagbeMatthew O. Adigun,2024,Multimedia Tools and Applications,10.1007/s11042-023-15805-z,2024,,Springer
Short-term stock market price trend prediction using a comprehensive deep learning system,Jingyi ShenM. Omair Shafiq,2020,Journal of Big Data,10.1186/s40537-020-00333-6,2020,,Springer
A survey of automated data augmentation algorithms for deep learning-based image classification tasks,Zihan YangRichard O. SinnottJames BaileyQiuhong Ke,2023,Knowledge and Information Systems,10.1007/s10115-023-01853-2,2023,,Springer
"Structural-optimized sequential deep learning methods for surface soil moisture forecasting, case study Quebec, Canada",Mohammad ZeynoddinHossein Bonakdari,2022,Neural Computing and Applications,10.1007/s00521-022-07529-2,2022,,Springer
A Deep Learning-Based Multi-objective Optimization Model for PM2.5 Prediction,Wenkai XuFengchen FuQingqing ZhangLei Wang,2023,International Journal of Computational Intelligence Systems,10.1007/s44196-023-00322-6,2023,,Springer
Image deep learning in fault diagnosis of mechanical equipment,Chuanhao WangYongjian SunXiaohong Wang,2024,Journal of Intelligent Manufacturing,10.1007/s10845-023-02176-3,2024,,Springer
File fetching in distributed file system via optimization assisted hybrid deep learning model,Uppuluri Lakshmi SoundharyaG. Vadivu,2024,Multimedia Tools and Applications,10.1007/s11042-023-17938-7,2024,,Springer
"Deep learning: emerging trends, applications and research challenges",Mu-Yen ChenHsiu-Sen ChiangEdwin LughoferErol Egrioglu,2020,Soft Computing,10.1007/s00500-020-04939-z,2020,,Springer
A predictive analytics framework for sensor data using time series and deep learning techniques,Hend A. SelmyHoda K. MohamedWalaa Medhat,2024,Neural Computing and Applications,10.1007/s00521-023-09398-9,2024,,Springer
Deep learning-based image target detection and recognition of fractal feature fusion for BIOmetric authentication and monitoring,Duolin LiuWei Teng,2022,Network Modeling Analysis in Health Informatics and Bioinformatics,10.1007/s13721-022-00355-5,2022,,Springer
Edge Computing with Fog-cloud for Heart Data Processing using Particle Swarm Optimized Deep Learning Technique,Sheng ChaiLantian Guo,2023,Journal of Grid Computing,10.1007/s10723-023-09706-6,2023,,Springer
WILS-TRS — a novel optimized deep learning based intrusion detection framework for IoT networks,B. JothiM. Pushpalatha,2023,Personal and Ubiquitous Computing,10.1007/s00779-021-01578-5,2023,,Springer
Prediction of nitrous oxide emission of a municipal wastewater treatment plant using LSTM-based deep learning models,Xiaozhen XuAnlei WeiSongjun TangQi LiuHanxiao ShiWei Sun,2024,Environmental Science and Pollution Research,10.1007/s11356-023-31250-9,2024,,Springer
An innovative ensemble model based on deep learning for predicting COVID-19 infection,Xiaoying SuYanfeng SunHongxi LiuQiuling LangYichen ZhangJiquan ZhangChaoyong WangYanan Chen,2023,Scientific Reports,10.1038/s41598-023-39408-8,2023,,Springer
Recent advances in deep learning models: a systematic literature review,Ruchika MalhotraPriya Singh,2023,Multimedia Tools and Applications,10.1007/s11042-023-15295-z,2023,,Springer
Machine learning and deep learning methods for intrusion detection systems: recent developments and challenges,Geeta KocherGulshan Kumar,2021,Soft Computing,10.1007/s00500-021-05893-0,2021,,Springer
Stacked Deep Learning Framework for Edge-Based Intelligent Threat Detection in IoT Network,D. SanthadeviB. Janet,2023,The Journal of Supercomputing,10.1007/s11227-023-05153-y,2023,,Springer
Securing internet of things using machine and deep learning methods: a survey,Ali GhaffariNasim JelodariSamira pouralishNahide derakhshanfardBahman Arasteh,2024,Cluster Computing,10.1007/s10586-024-04509-0,2024,,Springer
An adaptive and late multifusion framework in contextual representation based on evidential deep learning and Dempster–Shafer theory,Doaa Mohey El-DinAboul Ella HassaneinEhab E. Hassanien,2024,Knowledge and Information Systems,10.1007/s10115-024-02150-2,2024,,Springer
Automated image captioning system with deep learning enabled optimized approach,Roshni PadateMukesh Kalla,2024,Multimedia Tools and Applications,10.1007/s11042-024-19927-w,2024,,Springer
Smart grid dispatch powered by deep learning: a survey,Gang Huang 黄刚Fei Wu 吴飞Chuangxin Guo 郭创新,2022,Frontiers of Information Technology & Electronic Engineering,10.1631/FITEE.2000719,2022,,Springer
A Framework for Industrial Inspection System using Deep Learning,Monowar Wadud HridoyMohammad Mizanur RahmanSaadman Sakib,2024,Annals of Data Science,10.1007/s40745-022-00437-1,2024,,Springer
Deep Learning System and It’s Automatic Testing: An Approach,Rijwan Khan,2023,Annals of Data Science,10.1007/s40745-021-00361-w,2023,,Springer
Preserving the Legacy of Ancient Tamil Script with Deep Learning and Fuzzy C Means Algorithm: Intelligent Approach to Digiitization,B. SelvapriyaV. RajiniB. Sowmya,2024,Journal of Electrical Engineering & Technology,10.1007/s42835-024-01941-5,2024,,Springer
UAV 5G: enabled wireless communications using enhanced deep learning for edge devices,Derong TangQianbin Zhang,2023,Wireless Networks,10.1007/s11276-023-03589-x,2023,,Springer
Deep learning for electrolysis process anode effect prediction based on long short-term memory network and stacked denoising autoencoder,Gang YinYi-Hui LiFei-Ya YanPeng-Cheng QuanMin WangWen-Qi CaoHeng-Quan XuJian LuWen He,2024,Rare Metals,10.1007/s12598-024-02766-x,2024,,Springer
An introduction to quantum machine learning: from quantum logic to quantum deep learning,Leonardo AlchieriDavide BadalottiPietro BonardiSimone Bianco,2021,Quantum Machine Intelligence,10.1007/s42484-021-00056-8,2021,,Springer
Role of AI techniques and deep learning in analyzing the critical health conditions,Shilpa SrivastavaMillie PantRitu Agarwal,2020,International Journal of System Assurance Engineering and Management,10.1007/s13198-019-00863-0,2020,,Springer
Breaking the data barrier: a review of deep learning techniques for democratizing AI with small datasets,Ishfaq Hussain RatherSushil KumarAmir H. Gandomi,2024,Artificial Intelligence Review,10.1007/s10462-024-10859-3,2024,,Springer
Deep learning model for recommendation system using web of things based knowledge graph mining,Haewon ByeonVenkata ChunduriGeetika NarangFaisal Yousef AlghayadhMukesh SoniJanjhyam Venkata Naga Ramesh,2024,Service Oriented Computing and Applications,10.1007/s11761-024-00409-8,2024,,Springer
Applications of deep learning for the analysis of medical data,Hyun-Jong JangKyung-Ok Cho,2019,Archives of Pharmacal Research,10.1007/s12272-019-01162-9,2019,,Springer
Enabling business sustainability for stock market data using machine learning and deep learning approaches,S. DivyashreeChristy Jackson JoshuaAbdul Quadir MdSenthilkumar MohanA. Sheik AbdullahUmmul Hanan MohamadNisreen InnabAli Ahmadian,2024,Annals of Operations Research,10.1007/s10479-024-06118-x,2024,,Springer
Crew recovery optimization with deep learning and column generation for sustainable airline operation management,Ahmet HerekoğluÖzgür Kabak,2023,Annals of Operations Research,10.1007/s10479-023-05738-z,2023,,Springer
Deep learning-based soft computing model for image classification application,M. RevathiI. Jasmine Selvakumari JeyaS. N. Deepa,2020,Soft Computing,10.1007/s00500-020-05048-7,2020,,Springer
A monetary policy prediction model based on deep learning,Minrong Lu,2020,Neural Computing and Applications,10.1007/s00521-019-04319-1,2020,,Springer
An Innovative synthesis of deep learning techniques (DCapsNet & DCOM) for generation electrical renewable energy from wind energy,Samaher Al-JanabiAyad F. AlkaimZuhal Adel,2020,Soft Computing,10.1007/s00500-020-04905-9,2020,,Springer
DeepCov19Net: Automated COVID-19 Disease Detection with a Robust and Effective Technique Deep Learning Approach,Fatih DemirKürşat DemirAbdulkadir Şengür,2022,New Generation Computing,10.1007/s00354-021-00152-0,2022,,Springer
Deep learning-based collaborative filtering recommender systems: a comprehensive and systematic review,Atena TorkashvandSeyed Mahdi JameiiAkram Reza,2023,Neural Computing and Applications,10.1007/s00521-023-08958-3,2023,,Springer
Application of deep learning to predict the low serum albumin in new hemodialysis patients,Cheng-Hong YangYin-Syuan ChenJin-Bor ChenHsiu-Chen HuangLi-Yeh Chuang,2023,Nutrition & Metabolism,10.1186/s12986-023-00746-z,2023,,Springer
Recent advances in the application of deep learning methods to forestry,Yong WangWei ZhangRui GaoZheng JinXiaohuan Wang,2021,Wood Science and Technology,10.1007/s00226-021-01309-2,2021,,Springer
Daily tourism demand forecasting and tourists’ search behavior analysis: a deep learning approach,Xinyan ZhangMeng ChengDoris Chenguang Wu,2024,International Journal of Machine Learning and Cybernetics,10.1007/s13042-024-02157-9,2024,,Springer
Machine learning and deep learning approach for medical image analysis: diagnosis to detection,Meghavi RanaMegha Bhushan,2023,Multimedia Tools and Applications,10.1007/s11042-022-14305-w,2023,,Springer
The deep learning applications in IoT-based bio- and medical informatics: a systematic literature review,Zahra AmiriArash HeidariNima Jafari NavimipourMansour EsmaeilpourYalda Yazdani,2024,Neural Computing and Applications,10.1007/s00521-023-09366-3,2024,,Springer
Prediction Model of Organic Molecular Absorption Energies based on Deep Learning trained by Chaos-enhanced Accelerated Evolutionary algorithm,Mengshan LiSuyun LianFan WangYanying ZhouBingsheng ChenLixin GuanYan Wu,2019,Scientific Reports,10.1038/s41598-019-53206-1,2019,,Springer
A real-time typhoon eye detection method based on deep learning for meteorological information forensics,Liling ZhaoYifei ChenVictor S. Sheng,2020,Journal of Real-Time Image Processing,10.1007/s11554-019-00899-2,2020,,Springer
Artificial intelligence-Enabled deep learning model for multimodal biometric fusion,Haewon ByeonVikas RainaMukta SandhuMohammad ShabazIsmail KeshtaMukesh SoniKhaled MatroukPavitar Parkash SinghT. R. Vijaya Lakshmi,2024,Multimedia Tools and Applications,10.1007/s11042-024-18509-0,2024,,Springer
Deep learning for irregularly and regularly missing data reconstruction,Xintao ChaiHanming GuFeng LiHongyou DuanXiaobo HuKai Lin,2020,Scientific Reports,10.1038/s41598-020-59801-x,2020,,Springer
The DeepHealth Toolkit: A Key European Free and Open-Source Software for Deep Learning and Computer Vision Ready to Exploit Heterogeneous HPC and Cloud Architectures,Marco AldinucciDavid AtienzaFederico BolelliMónica CaballeroIacopo ColonnelliJosé FlichJon A. GómezDavid GonzálezCostantino GranaMarco GrangettoSimone LeoPedro LópezDana OnigaRoberto ParedesLuca PiredduEduardo Quiñones,2022,Technologies and Applications for Big Data Value,10.1007/978-3-030-78307-5_9,2022,,Springer
Online Social Network Security: A Comparative Review Using Machine Learning and Deep Learning,Chanchal KumarTaran Singh BharatiShiv Prakash,2021,Neural Processing Letters,10.1007/s11063-020-10416-3,2021,,Springer
A nomadic multi-agent based privacy metrics for e-health care: a deep learning approach,Chandramohan DhasarathanM. ShanmugamManish KumarDiwakar TripathiShailesh KhapreAchyut Shankar,2024,Multimedia Tools and Applications,10.1007/s11042-023-15363-4,2024,,Springer
Predicting financial losses due to apartment construction accidents utilizing deep learning techniques,Ji-Myong KimJunseo BaeHyunsoung ParkSang-Guk Yum,2022,Scientific Reports,10.1038/s41598-022-09453-w,2022,,Springer
From distributed machine to distributed deep learning: a comprehensive survey,Mohammad DehghaniZahra Yazdanparast,2023,Journal of Big Data,10.1186/s40537-023-00829-x,2023,,Springer
